Metabolite,Estimate.RH,Std.err.RH,CI_lower.RH,CI_upper.RH,p_value.RH,sig.x,Estimate.RI,Std.err.RI,CI_lower.RI,CI_upper.RI,p_value.RI,sig.y,Estimate.IH,Std.err.IH,CI_lower.IH,CI_upper.IH,p_value.IH,sig
Phenylbutazone Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Phenylketonuria,-0.44854511,0.052589275,-0.55162009,-0.345470131,0,sig,-0.038513116,0.075660668,-0.186808026,0.109781793,0.610735211,not sig,-0.434353235,0.069479057,-0.570532187,-0.298174284,4.06E-10,sig
Phenytoin ,-0.642178341,0.043532721,-0.727502474,-0.556854208,0,sig,-0.492851805,0.072402025,-0.634759774,-0.350943835,9.95E-12,sig,-0.088508919,0.064122235,-0.2141885,0.037170661,0.167489503,not sig
Phosphatidylcholine Biosynthesis,-0.41822915,0.039114241,-0.494893061,-0.341565238,0,sig,-0.284865449,0.059626229,-0.401732858,-0.16799804,1.77E-06,sig,-0.109631037,0.054470113,-0.216392458,-0.002869616,0.044148052,sig
Phosphatidylcholine Biosynthesis PC,-0.41822915,0.039114241,-0.494893061,-0.341565238,0,sig,-0.284865449,0.059626229,-0.401732858,-0.16799804,1.77E-06,sig,-0.109631037,0.054470113,-0.216392458,-0.002869616,0.044148052,sig
Phosphoenolpyruvate Carboxykinase Deficiency 1 ,-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
Phospholipid Biosynthesis,-0.060085628,0.040964032,-0.140375131,0.020203876,0.142433225,not sig,0.093168429,0.070389619,-0.044795223,0.231132082,0.185632478,not sig,-0.122854482,0.063911709,-0.248121433,0.002412468,0.054573916,not sig
Phytanic Acid Peroxisomal Oxidation,-0.527038419,0.055326777,-0.635478902,-0.418597936,0,sig,-0.392048316,0.07546126,-0.539952386,-0.244144247,2.04E-07,sig,-0.099283648,0.06847731,-0.233499175,0.034931879,0.147092936,not sig
Piroxicam Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Porphyria Variegata ,-0.662278551,0.039706138,-0.740102581,-0.58445452,0,sig,-0.231926361,0.08124101,-0.391158739,-0.072693982,0.004306473,sig,-0.371828452,0.069062934,-0.507191802,-0.236465103,7.29E-08,sig
Porphyrin Metabolism,-0.662278551,0.039706138,-0.740102581,-0.58445452,0,sig,-0.231926361,0.08124101,-0.391158739,-0.072693982,0.004306473,sig,-0.371828452,0.069062934,-0.507191802,-0.236465103,7.29E-08,sig
"Primary Hyperoxaluria II, PH2",-0.358309748,0.039593915,-0.435913822,-0.280705674,0,sig,0.136974909,0.06779332,0.004100001,0.269849816,0.043333835,sig,-0.509907906,0.055969366,-0.619607864,-0.400207948,0,sig
Primary Hyperoxaluria Type I,-0.203941781,0.039373404,-0.281113652,-0.12676991,2.22E-07,sig,0.128053267,0.065512894,-0.000352006,0.25645854,0.050627122,not sig,-0.369912843,0.057676179,-0.482958154,-0.256867533,1.42E-10,sig
Prolidase Deficiency ,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Prolinemia Type II,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Propanoate Metabolism,-0.463564657,0.04594104,-0.553609096,-0.373520218,0,sig,-0.332959411,0.063726469,-0.45786329,-0.208055533,1.74E-07,sig,-0.161966141,0.064781207,-0.288937307,-0.034994975,0.012412231,sig
Propionic Acidemia,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Purine Metabolism,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Purine Nucleoside Phosphorylase Deficiency,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Pyridoxine Dependency with Seizures,-0.943842984,0.044862665,-1.031773807,-0.85591216,0,sig,-0.505062538,0.082295075,-0.666360885,-0.343764192,8.40E-10,sig,-0.352226315,0.068177556,-0.485854325,-0.218598305,2.39E-07,sig
Pyrimidine Metabolism,-0.073569747,0.038852038,-0.149719742,0.002580248,0.058279741,not sig,-0.035615563,0.060324262,-0.153851116,0.082619989,0.554921186,not sig,-0.034932762,0.054797091,-0.142335059,0.072469536,0.523803768,not sig
Pyruvate Carboxylase Deficiency,-0.203941781,0.039373404,-0.281113652,-0.12676991,2.22E-07,sig,0.128053267,0.065512894,-0.000352006,0.25645854,0.050627122,not sig,-0.369912843,0.057676179,-0.482958154,-0.256867533,1.42E-10,sig
Pyruvate Decarboxylase E1 Component Deficiency ,-0.358309748,0.039593915,-0.435913822,-0.280705674,0,sig,0.136974909,0.06779332,0.004100001,0.269849816,0.043333835,sig,-0.509907906,0.055969366,-0.619607864,-0.400207948,0,sig
Pyruvate Dehydrogenase Complex Deficiency,-0.358309748,0.039593915,-0.435913822,-0.280705674,0,sig,0.136974909,0.06779332,0.004100001,0.269849816,0.043333835,sig,-0.509907906,0.055969366,-0.619607864,-0.400207948,0,sig
Pyruvate Dehydrogenase Deficiency ,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
Pyruvate Kinase Deficiency,-0.358309748,0.039593915,-0.435913822,-0.280705674,0,sig,0.136974909,0.06779332,0.004100001,0.269849816,0.043333835,sig,-0.509907906,0.055969366,-0.619607864,-0.400207948,0,sig
Pyruvate Metabolism,-0.358309748,0.039593915,-0.435913822,-0.280705674,0,sig,0.136974909,0.06779332,0.004100001,0.269849816,0.043333835,sig,-0.509907906,0.055969366,-0.619607864,-0.400207948,0,sig
Refsum Disease,-0.527038419,0.055326777,-0.635478902,-0.418597936,0,sig,-0.392048316,0.07546126,-0.539952386,-0.244144247,2.04E-07,sig,-0.099283648,0.06847731,-0.233499175,0.034931879,0.147092936,not sig
Ribose-5-phosphate Isomerase Deficiency,-0.150543477,0.058954635,-0.266094562,-0.034992392,0.010663165,sig,-0.076178319,0.070354982,-0.214074084,0.061717446,0.278910179,not sig,-0.081713785,0.075454107,-0.229603834,0.066176265,0.278826148,not sig
Rofecoxib Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Rolitetracycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Roxithromycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
S-Adenosylhomocysteine ,-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
Saccharopinuria/Hyperlysinemia II,-0.943842984,0.044862665,-1.031773807,-0.85591216,0,sig,-0.505062538,0.082295075,-0.666360885,-0.343764192,8.40E-10,sig,-0.352226315,0.068177556,-0.485854325,-0.218598305,2.39E-07,sig
Salicylate-Sodium Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Salicylic Acid Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Salla Disease/Infantile Sialic Acid Storage Disease,-0.022447652,0.051147017,-0.122695804,0.077800501,0.660744962,not sig,0.284894785,0.065881171,0.15576769,0.41402188,1.53E-05,sig,-0.277815645,0.065351023,-0.40590365,-0.14972764,2.13E-05,sig
Salsalate Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Sarcosine Oncometabolite Pathway,-0.310230666,0.040149406,-0.388923502,-0.231537829,1.10E-14,sig,-0.107363467,0.063389611,-0.231607104,0.01688017,0.090320855,not sig,-0.173662295,0.054583076,-0.280645123,-0.066679466,0.001464567,sig
Sarcosinemia,-0.4456721,0.024890601,-0.494457677,-0.396886523,0,sig,-0.153776829,0.039001203,-0.230219187,-0.077334472,8.05E-05,sig,-0.274926749,0.035601747,-0.344706172,-0.205147326,1.14E-14,sig
Selenoamino Acid Metabolism,-0.457819804,0.059665884,-0.574764936,-0.340874672,1.68E-14,sig,0.058073806,0.092144885,-0.122530169,0.238677782,0.528534637,not sig,-0.423045113,0.081122894,-0.582045986,-0.26404424,1.84E-07,sig
Sialuria or French Type Sialuria,-0.022447652,0.051147017,-0.122695804,0.077800501,0.660744962,not sig,0.284894785,0.065881171,0.15576769,0.41402188,1.53E-05,sig,-0.277815645,0.065351023,-0.40590365,-0.14972764,2.13E-05,sig
Spectinomycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Spermidine and Spermine Biosynthesis,-0.277520058,0.064345092,-0.403636437,-0.151403678,1.61E-05,sig,-0.387282857,0.078181668,-0.540518926,-0.234046789,7.28E-07,sig,0.156746624,0.079534515,0.000858975,0.312634273,0.048746754,sig
Starch and Sucrose Metabolism,0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
Streptomycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Succinate Signalling,-0.535426966,0.045952123,-0.625493127,-0.445360805,0,sig,-0.398785821,0.067399659,-0.530889152,-0.26668249,3.28E-09,sig,-0.132760871,0.059737998,-0.249847347,-0.015674394,0.026257254,sig
Succinic Semialdehyde Dehydrogenase Deficiency,-0.311349891,0.031026678,-0.37216218,-0.250537601,0,sig,0.092642104,0.053248408,-0.011724776,0.197008984,0.081892414,not sig,-0.422083293,0.045141297,-0.510560234,-0.333606351,0,sig
Sucrase-Isomaltase Deficiency,0.009133809,0.050907395,-0.090644685,0.108912303,0.857607865,not sig,-0.136448577,0.083976502,-0.301042521,0.028145367,0.104196153,not sig,0.195981429,0.078183592,0.042741589,0.349221268,0.012187018,sig
Sulindac Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Suprofen Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Tay-Sachs Disease,-0.022447652,0.051147017,-0.122695804,0.077800501,0.660744962,not sig,0.284894785,0.065881171,0.15576769,0.41402188,1.53E-05,sig,-0.277815645,0.065351023,-0.40590365,-0.14972764,2.13E-05,sig
Telithromycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Tenoxicam Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Tetracycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
The Oncogenic Action of 2-Hydroxyglutarate,-0.338667743,0.040343663,-0.417741321,-0.259594164,0,sig,-0.11377967,0.063239464,-0.23772902,0.01016968,0.071988985,not sig,-0.226964928,0.054898715,-0.33456641,-0.119363446,3.56E-05,sig
The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxygluaricaciduria,-0.338667743,0.040343663,-0.417741321,-0.259594164,0,sig,-0.11377967,0.063239464,-0.23772902,0.01016968,0.071988985,not sig,-0.226964928,0.054898715,-0.33456641,-0.119363446,3.56E-05,sig
The Oncogenic Action of Fumarate,-0.285702973,0.035091227,-0.354481778,-0.216924168,4.44E-16,sig,-0.096424315,0.057732907,-0.209580813,0.016732182,0.094883862,not sig,-0.187513003,0.048164275,-0.281914982,-0.093111024,9.89E-05,sig
The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria,-0.338667743,0.040343663,-0.417741321,-0.259594164,0,sig,-0.11377967,0.063239464,-0.23772902,0.01016968,0.071988985,not sig,-0.226964928,0.054898715,-0.33456641,-0.119363446,3.56E-05,sig
The Oncogenic Action of Succinate,-0.285702973,0.035091227,-0.354481778,-0.216924168,4.44E-16,sig,-0.096424315,0.057732907,-0.209580813,0.016732182,0.094883862,not sig,-0.187513003,0.048164275,-0.281914982,-0.093111024,9.89E-05,sig
Thioguanine Action Pathway,-0.105006683,0.033994504,-0.171635912,-0.038377455,0.00200878,sig,0.238195921,0.046633275,0.146794701,0.329597141,3.26E-07,sig,-0.313001314,0.043866106,-0.39897888,-0.227023747,9.65E-13,sig
Tiaprofenic Acid Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Tigecycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Tobramycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Tolmetin Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Transaldolase Deficiency,-0.150543477,0.058954635,-0.266094562,-0.034992392,0.010663165,sig,-0.076178319,0.070354982,-0.214074084,0.061717446,0.278910179,not sig,-0.081713785,0.075454107,-0.229603834,0.066176265,0.278826148,not sig
Transfer of Acetyl Groups into Mitochondria,-0.35903006,0.046541908,-0.4502522,-0.267807921,1.22E-14,sig,0.075935205,0.071559126,-0.064320682,0.216191093,0.288620224,not sig,-0.463335819,0.063283097,-0.587370689,-0.33930095,2.45E-13,sig
Triosephosphate Isomerase Deficiency,-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
Trisalicylate-Choline Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Troleandomycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Tryptophan Metabolism,-0.341423094,0.038030174,-0.415962236,-0.266883952,0,sig,-0.115127818,0.059405231,-0.23156207,0.001306434,0.052622235,not sig,-0.150675829,0.057640619,-0.263651443,-0.037700215,0.008947427,sig
Tyrosine Hydroxylase Deficiency,-0.386854415,0.044636227,-0.47434142,-0.299367409,0,sig,-0.167458372,0.064750521,-0.294369394,-0.04054735,0.009703811,sig,-0.211811216,0.055449118,-0.320491488,-0.103130945,0.000133495,sig
Tyrosine Metabolism,-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
Tyrosinemia Type 2 ,-0.44854511,0.052589275,-0.55162009,-0.345470131,0,sig,-0.038513116,0.075660668,-0.186808026,0.109781793,0.610735211,not sig,-0.434353235,0.069479057,-0.570532187,-0.298174284,4.06E-10,sig
Tyrosinemia Type 3 ,-0.44854511,0.052589275,-0.55162009,-0.345470131,0,sig,-0.038513116,0.075660668,-0.186808026,0.109781793,0.610735211,not sig,-0.434353235,0.069479057,-0.570532187,-0.298174284,4.06E-10,sig
Tyrosinemia Type I,-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
"Tyrosinemia, Transient, of the Newborn",-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
UMP Synthase Deficiency ,-0.073569747,0.038852038,-0.149719742,0.002580248,0.058279741,not sig,-0.035615563,0.060324262,-0.153851116,0.082619989,0.554921186,not sig,-0.034932762,0.054797091,-0.142335059,0.072469536,0.523803768,not sig
Urea Cycle,-0.414900803,0.032711384,-0.479015116,-0.35078649,0,sig,0.059026324,0.050758762,-0.04046085,0.158513499,0.244878398,not sig,-0.462360766,0.047384257,-0.555233911,-0.369487622,0,sig
Valdecoxib Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
"Valine, Leucine, and Isoleucine Degradation",-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
Valproic Acid Metabolism Pathway,-0.463214463,0.062115097,-0.584960053,-0.341468874,8.83E-14,sig,-0.064438513,0.10042959,-0.261280509,0.132403483,0.521114256,not sig,-0.308128895,0.091975921,-0.488401701,-0.127856089,0.000807812,sig
Warburg Effect,-0.233270565,0.040698961,-0.313040529,-0.1535006,9.95E-09,sig,-0.071568816,0.059105596,-0.187415783,0.044278151,0.225947674,not sig,-0.172010178,0.054383603,-0.278602039,-0.065418317,0.001562032,sig
Xanthine Dehydrogenase Deficiency ,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Xanthinuria Type I,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Xanthinuria Type II,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Zellweger Syndrome,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
